id,name,name1,name2,name3
1,duc,duc,duc,duc
2,duc,duc,duc,duc
3,duc,duc,duc,duc
4,duc,duc,duc,duc
5,duc,duc,duc,duc
6,duc,duc,duc,duc
7,duc,duc,duc,duc
8,duc,duc,duc,duc
9,duc,duc,duc,duc
10,duc,duc,duc,duc
11,duc,duc,duc,duc
12,duc,duc,duc,duc
13,duc,duc,duc,duc
14,duc,duc,duc,duc
15,duc,duc,duc,duc
16,duc,duc,duc,duc
17,duc,duc,duc,duc
18,duc,duc,duc,duc
19,duc,duc,duc,duc
20,duc,duc,duc,duc
21,duc,duc,duc,duc
22,duc,duc,duc,duc
23,duc,duc,duc,duc
24,duc,duc,duc,duc
25,duc,duc,duc,duc
26,duc,duc,duc,duc
27,duc,duc,duc,duc
28,duc,duc,duc,duc
29,duc,duc,duc,duc
30,duc,duc,duc,duc
31,duc,duc,duc,duc
32,duc,duc,duc,duc
33,duc,duc,duc,duc
34,duc,duc,duc,duc
35,duc,duc,duc,duc
36,duc,duc,duc,duc
37,duc,duc,duc,duc
38,duc,duc,duc,duc
39,duc,duc,duc,duc
40,duc,duc,duc,duc
41,duc,duc,duc,duc
42,duc,duc,duc,duc
43,duc,duc,duc,duc
44,duc,duc,duc,duc
45,duc,duc,duc,duc
46,duc,duc,duc,duc
47,duc,duc,duc,duc
48,duc,duc,duc,duc
49,duc,duc,duc,duc
50,duc,duc,duc,duc
51,duc,duc,duc,duc
52,duc,duc,duc,duc
53,duc,duc,duc,duc
54,duc,duc,duc,duc
55,duc,duc,duc,duc
56,duc,duc,duc,duc
57,duc,duc,duc,duc
58,duc,duc,duc,duc
59,duc,duc,duc,duc
60,duc,duc,duc,duc
61,duc,duc,duc,duc
62,duc,duc,duc,duc
63,duc,duc,duc,duc
64,duc,duc,duc,duc
65,duc,duc,duc,duc
66,duc,duc,duc,duc
67,duc,duc,duc,duc
68,duc,duc,duc,duc
69,duc,duc,duc,duc
70,duc,duc,duc,duc
71,duc,duc,duc,duc
72,duc,duc,duc,duc
73,duc,duc,duc,duc
74,duc,duc,duc,duc
75,duc,duc,duc,duc
76,duc,duc,duc,duc
77,duc,duc,duc,duc
78,duc,duc,duc,duc
79,duc,duc,duc,duc
80,duc,duc,duc,duc
81,duc,duc,duc,duc
82,duc,duc,duc,duc
83,duc,duc,duc,duc
84,duc,duc,duc,duc
85,duc,duc,duc,duc
86,duc,duc,duc,duc
87,duc,duc,duc,duc
88,duc,duc,duc,duc
89,duc,duc,duc,duc
90,duc,duc,duc,duc
91,duc,duc,duc,duc
92,duc,duc,duc,duc
93,duc,duc,duc,duc
94,duc,duc,duc,duc
95,duc,duc,duc,duc
96,duc,duc,duc,duc
97,duc,duc,duc,duc
98,duc,duc,duc,duc
99,duc,duc,duc,duc
100,duc,duc,duc,duc
101,duc,duc,duc,duc
102,duc,duc,duc,duc
103,duc,duc,duc,duc
104,duc,duc,duc,duc
105,duc,duc,duc,duc
106,duc,duc,duc,duc
107,duc,duc,duc,duc
108,duc,duc,duc,duc
109,duc,duc,duc,duc
110,duc,duc,duc,duc
111,duc,duc,duc,duc
112,duc,duc,duc,duc
113,duc,duc,duc,duc
114,duc,duc,duc,duc
115,duc,duc,duc,duc
116,duc,duc,duc,duc
117,duc,duc,duc,duc
118,duc,duc,duc,duc
119,duc,duc,duc,duc
120,duc,duc,duc,duc
121,duc,duc,duc,duc
122,duc,duc,duc,duc
123,duc,duc,duc,duc
124,duc,duc,duc,duc
125,duc,duc,duc,duc
126,duc,duc,duc,duc
127,duc,duc,duc,duc
128,duc,duc,duc,duc
129,duc,duc,duc,duc
130,duc,duc,duc,duc
131,duc,duc,duc,duc
132,duc,duc,duc,duc
133,duc,duc,duc,duc
134,duc,duc,duc,duc
135,duc,duc,duc,duc
136,duc,duc,duc,duc
137,duc,duc,duc,duc
138,duc,duc,duc,duc
139,duc,duc,duc,duc
140,duc,duc,duc,duc
141,duc,duc,duc,duc
142,duc,duc,duc,duc
143,duc,duc,duc,duc
144,duc,duc,duc,duc
145,duc,duc,duc,duc
146,duc,duc,duc,duc
147,duc,duc,duc,duc
148,duc,duc,duc,duc
149,duc,duc,duc,duc
150,duc,duc,duc,duc
151,duc,duc,duc,duc
152,duc,duc,duc,duc
153,duc,duc,duc,duc
154,duc,duc,duc,duc
155,duc,duc,duc,duc
156,duc,duc,duc,duc
157,duc,duc,duc,duc
158,duc,duc,duc,duc
159,duc,duc,duc,duc
160,duc,duc,duc,duc
161,duc,duc,duc,duc
162,duc,duc,duc,duc
163,duc,duc,duc,duc
164,duc,duc,duc,duc
165,duc,duc,duc,duc
166,duc,duc,duc,duc
167,duc,duc,duc,duc
168,duc,duc,duc,duc
169,duc,duc,duc,duc
170,duc,duc,duc,duc
171,duc,duc,duc,duc
172,duc,duc,duc,duc
173,duc,duc,duc,duc
174,duc,duc,duc,duc
175,duc,duc,duc,duc
176,duc,duc,duc,duc
177,duc,duc,duc,duc
178,duc,duc,duc,duc
179,duc,duc,duc,duc
180,duc,duc,duc,duc
181,duc,duc,duc,duc
182,duc,duc,duc,duc
183,duc,duc,duc,duc
184,duc,duc,duc,duc
185,duc,duc,duc,duc
186,duc,duc,duc,duc
187,duc,duc,duc,duc
188,duc,duc,duc,duc
189,duc,duc,duc,duc
190,duc,duc,duc,duc
191,duc,duc,duc,duc
192,duc,duc,duc,duc
193,duc,duc,duc,duc
194,duc,duc,duc,duc
195,duc,duc,duc,duc
196,duc,duc,duc,duc
197,duc,duc,duc,duc
198,duc,duc,duc,duc
199,duc,duc,duc,duc
200,duc,duc,duc,duc
201,duc,duc,duc,duc
202,duc,duc,duc,duc
203,duc,duc,duc,duc
204,duc,duc,duc,duc
205,duc,duc,duc,duc
206,duc,duc,duc,duc
207,duc,duc,duc,duc
208,duc,duc,duc,duc
209,duc,duc,duc,duc
210,duc,duc,duc,duc
211,duc,duc,duc,duc
212,duc,duc,duc,duc
213,duc,duc,duc,duc
214,duc,duc,duc,duc
215,duc,duc,duc,duc
216,duc,duc,duc,duc
217,duc,duc,duc,duc
218,duc,duc,duc,duc
219,duc,duc,duc,duc
220,duc,duc,duc,duc
221,duc,duc,duc,duc
222,duc,duc,duc,duc
223,duc,duc,duc,duc
224,duc,duc,duc,duc
225,duc,duc,duc,duc
226,duc,duc,duc,duc
227,duc,duc,duc,duc
228,duc,duc,duc,duc
229,duc,duc,duc,duc
230,duc,duc,duc,duc
231,duc,duc,duc,duc
232,duc,duc,duc,duc
233,duc,duc,duc,duc
234,duc,duc,duc,duc
235,duc,duc,duc,duc
236,duc,duc,duc,duc
237,duc,duc,duc,duc
238,duc,duc,duc,duc
239,duc,duc,duc,duc
240,duc,duc,duc,duc
241,duc,duc,duc,duc
242,duc,duc,duc,duc
243,duc,duc,duc,duc
244,duc,duc,duc,duc
245,duc,duc,duc,duc
246,duc,duc,duc,duc
247,duc,duc,duc,duc
248,duc,duc,duc,duc
249,duc,duc,duc,duc
250,duc,duc,duc,duc
251,duc,duc,duc,duc
252,duc,duc,duc,duc
253,duc,duc,duc,duc
254,duc,duc,duc,duc
255,duc,duc,duc,duc
256,duc,duc,duc,duc
257,duc,duc,duc,duc
258,duc,duc,duc,duc
259,duc,duc,duc,duc
260,duc,duc,duc,duc
261,duc,duc,duc,duc
